 0.00000000e+00 -8.27604651e-12  0.00000000e+00 -4.36397585e-11  0.00000000e+00 -3.37112005e-11 
 7.81400000e-06 -8.27604651e-12  7.81400000e-06 -4.36397585e-11  7.81400000e-06 -3.37112005e-11 
 7.86400000e-06 -8.27604651e-12  7.86400000e-06 -4.36397585e-11  7.86400000e-06 -3.37112005e-11 
 7.91400000e-06 -8.27604651e-12  7.91400000e-06 -4.36397585e-11  7.91400000e-06 -3.37112005e-11 
 7.96400000e-06 -8.27604651e-12  7.96400000e-06 -4.36397585e-11  7.96400000e-06 -3.37112005e-11 
 8.01400000e-06 -8.27604651e-12  8.01400000e-06 -4.36397585e-11  8.01400000e-06 -3.37112005e-11 
 8.06400000e-06 -8.27604651e-12  8.06400000e-06 -4.36397585e-11  8.06400000e-06 -3.37112005e-11 
 8.11400000e-06 -8.27604651e-12  8.11400000e-06 -4.36397585e-11  8.11400000e-06 -3.37112005e-11 
 8.16400000e-06 -8.27604651e-12  8.16400000e-06 -4.36397585e-11  8.16400000e-06 -3.37112005e-11 
 8.21400000e-06 -8.27604651e-12  8.21400000e-06 -4.36397585e-11  8.21400000e-06 -3.37112005e-11 
 8.26400000e-06 -8.27604651e-12  8.26400000e-06 -4.36397585e-11  8.26400000e-06 -3.37112005e-11 
 8.31400000e-06 -8.27604651e-12  8.31400000e-06 -4.36397585e-11  8.31400000e-06 -3.37112005e-11 
 8.36400000e-06 -8.27604651e-12  8.36400000e-06 -4.36397585e-11  8.36400000e-06 -3.37112005e-11 
 8.41400000e-06 -8.27604651e-12  8.41400000e-06 -4.36397585e-11  8.41400000e-06 -3.37112005e-11 
 8.46400000e-06 -8.27604651e-12  8.46400000e-06 -4.36397585e-11  8.46400000e-06 -3.37112005e-11 
 8.51400000e-06 -8.27604651e-12  8.51400000e-06 -4.36397585e-11  8.51400000e-06 -3.37112005e-11 
 8.56400000e-06 -8.27604651e-12  8.56400000e-06 -4.36397585e-11  8.56400000e-06 -3.37112005e-11 
 8.61400000e-06 -8.27604651e-12  8.61400000e-06 -4.36397585e-11  8.61400000e-06 -3.37112005e-11 
 8.66400000e-06 -8.27604651e-12  8.66400000e-06 -4.36397585e-11  8.66400000e-06 -3.37112005e-11 
 8.71400000e-06 -8.27604651e-12  8.71400000e-06 -4.36397585e-11  8.71400000e-06 -3.37112005e-11 
 8.76400000e-06 -8.27604651e-12  8.76400000e-06 -4.36397585e-11  8.76400000e-06 -3.37112005e-11 
 8.81400000e-06 -8.27604651e-12  8.81400000e-06 -4.36397585e-11  8.81400000e-06 -3.37112005e-11 
 8.86400000e-06 -8.27604651e-12  8.86400000e-06 -4.36397585e-11  8.86400000e-06 -3.37112005e-11 
 8.91400000e-06 -8.27604651e-12  8.91400000e-06 -4.36397585e-11  8.91400000e-06 -3.37112005e-11 
 8.96400000e-06 -8.27604651e-12  8.96400000e-06 -4.36397585e-11  8.96400000e-06 -3.37112005e-11 
 9.01400000e-06 -8.27604651e-12  9.01400000e-06 -4.36397585e-11  9.01400000e-06 -3.37112005e-11 
 9.06400000e-06 -8.27604651e-12  9.06400000e-06 -4.36397585e-11  9.06400000e-06 -3.37112005e-11 
 9.11400000e-06 -8.27604651e-12  9.11400000e-06 -4.36397585e-11  9.11400000e-06 -3.37112005e-11 
 9.16400000e-06 -8.27604651e-12  9.16400000e-06 -4.36397585e-11  9.16400000e-06 -3.37112005e-11 
 9.21400000e-06 -8.27604651e-12  9.21400000e-06 -4.36397585e-11  9.21400000e-06 -3.37112005e-11 
 9.26400000e-06 -8.27604651e-12  9.26400000e-06 -4.36397585e-11  9.26400000e-06 -3.37112005e-11 
 9.31400000e-06 -8.27604651e-12  9.31400000e-06 -4.36397585e-11  9.31400000e-06 -3.37112005e-11 
 9.36400000e-06 -8.27604651e-12  9.36400000e-06 -4.36397585e-11  9.36400000e-06 -3.37112005e-11 
 9.41400000e-06 -8.27604651e-12  9.41400000e-06 -4.36397585e-11  9.41400000e-06 -3.37112005e-11 
 9.46400000e-06 -8.27604651e-12  9.46400000e-06 -4.36397585e-11  9.46400000e-06 -3.37112005e-11 
 9.51400000e-06 -8.27604651e-12  9.51400000e-06 -4.36397585e-11  9.51400000e-06 -3.37112005e-11 
 9.56400000e-06 -8.27604651e-12  9.56400000e-06 -4.36397585e-11  9.56400000e-06 -3.37112005e-11 
 9.61400000e-06 -8.27604651e-12  9.61400000e-06 -4.36397585e-11  9.61400000e-06 -3.37112005e-11 
 9.66400000e-06 -8.27604651e-12  9.66400000e-06 -4.36397585e-11  9.66400000e-06 -3.37112005e-11 
 9.71400000e-06 -8.27604651e-12  9.71400000e-06 -4.36397585e-11  9.71400000e-06 -3.37112005e-11 
 9.76400000e-06 -8.27604651e-12  9.76400000e-06 -4.36397585e-11  9.76400000e-06 -3.37112005e-11 
